TOI,TIC ID,Disposition
1001.01,88863718,PC
1007.01,65212867,PC
1009.01,107782586,PC
1011.01,114018671,PC
1019.01,341420329,PC
1025.01,297967252,PC
1027.01,20318757,PC
1027.02,20318757,PC
1027.03,20318757,PC
1032.01,146589986,PC
1035.01,361413119,PC
1036.01,146172354,PC
1042.01,360286627,PC
1044.01,463402815,PC
1056.01,421894914,PC
1057.01,323132914,PC
1058.01,31553893,PC
1059.01,380783252,PC
1063.01,406976746,PC
1074.01,327301957,PC
1077.01,369960846,PC
1079.01,379240073,PC
1080.01,161032923,PC
1081.01,253728991,PC
1082.01,261108236,PC
1083.01,322270620,PC
1086.01,468148930,PC
1091.01,193413306,PC
1095.01,375223080,PC
1100.01,318608749,PC
1103.01,351603103,PC
1104.01,451599528,PC
1106.01,384513078,PC
1116.01,304100538,PC
1117.01,295541511,PC
1125.01,80166433,PC
1131.01,198213332,PC
1137.01,89389197,PC
1139.01,202563254,PC
1154.01,459970307,PC
1162.01,13419950,PC
1163.01,375542276,PC
1169.01,302518439,PC
1174.01,154089169,PC
1176.01,230088370,PC
1180.01,158002130,PC
1184.01,233087860,PC
1187.01,372757221,PC
1189.01,112026224,PC
119.01,278683844,PC
119.02,278683844,PC
1194.01,147950620,PC
1196.01,69068526,PC
1197.01,92677094,PC
1204.01,467666275,PC
1205.01,287776397,PC
1207.01,364393429,PC
1208.01,273985865,PC
1208.02,273985865,PC
1208.03,273985865,PC
1209.01,30037565,PC
1211.01,50312495,PC
1212.01,389924075,PC
1214.01,451606970,PC
1215.01,453260209,PC
1216.01,141527965,PC
1217.01,248092710,PC
1218.01,294781547,PC
1219.01,294981566,PC
1222.01,374997123,PC
1224.01,299798795,PC
1224.02,299798795,PC
1225.01,150428703,PC
1225.02,150428703,PC
1226.01,177115354,PC
1232.01,364395234,PC
1238.01,153951307,PC
1238.02,153951307,PC
1241.01,159107668,PC
1242.01,198212955,PC
1243.01,219698776,PC
1244.01,219850915,PC
1245.01,229781583,PC
1247.01,232540264,PC
1248.01,232612416,PC
1249.01,232976128,PC
1252.01,233211762,PC
1254.01,236714379,PC
1258.01,288132261,PC
1261.01,356311210,PC
1262.01,365938305,PC
1263.01,406672232,PC
1264.01,416195870,PC
1269.01,198241702,PC
1269.02,198241702,PC
1274.01,459969957,PC
1277.02,153949511,PC
1279.01,224297258,PC
128.01,391949880,PC
1280.01,230017324,PC
1281.01,232971294,PC
1287.01,352764091,PC
1291.01,198186769,PC
1293.01,202504234,PC
1295.01,219852584,PC
1301.01,356867115,PC
1301.02,356867115,PC
1302.01,441797803,PC
1312.01,405904232,PC
1318.01,167092385,PC
1320.01,167403519,PC
133.01,219338557,PC
1345.01,160487753,PC
1346.01,219852882,PC
1346.02,219852882,PC
1347.01,229747848,PC
1347.02,229747848,PC
1350.01,233953967,PC
1355.01,372264750,PC
1356.01,277566483,PC
1361.01,277447970,PC
1362.01,395142888,PC
1364.01,26880783,PC
1381.01,275722992,PC
1389.01,353038705,PC
1404.01,352239069,PC
1404.02,352239069,PC
1410.01,199444169,PC
1413.01,119700084,PC
1415.01,148782377,PC
142.01,425934411,PC
1420.01,321857016,PC
1424.01,418959198,PC
1432.01,256783784,PC
1434.01,138588540,PC
1435.01,153976959,PC
1436.01,154383539,PC
1437.01,198356533,PC
1438.01,229650439,PC
1438.02,229650439,PC
1440.01,233617847,PC
1440.02,233617847,PC
1441.01,233951353,PC
1443.01,237232044,PC
1445.01,259172391,PC
1445.02,259172391,PC
1446.01,294471966,PC
1446.02,294471966,PC
1448.01,343628284,PC
1449.02,356158613,PC
145.01,265612438,PC
1450.01,377293776,PC
1451.01,417931607,PC
1453.01,198390247,PC
1453.02,198390247,PC
1454.01,294179385,PC
1464.01,229944666,PC
1466.01,237086564,PC
1467.01,240968774,PC
1472.01,306955329,PC
1473.01,352413427,PC
1475.01,431514478,PC
1482.01,252616865,PC
149.01,260985861,PC
1491.01,53875855,PC
1520.01,269238073,PC
1527.01,202375913,PC
1532.01,327579226,PC
1533.01,345143460,PC
1533.02,345143460,PC
1537.01,173612049,PC
1538.01,177244357,PC
1544.01,455791689,PC
1546.01,194203348,PC
155.01,129637892,PC
1551.01,288348498,PC
1559.01,241040309,PC
1560.01,241076290,PC
1563.01,249945230,PC
1565.01,251384275,PC
1581.01,370759867,PC
1586.01,445144327,PC
1588.01,50120414,PC
159.01,394657039,PC
1598.01,67418624,PC
161.01,348770361,PC
1610.01,219776325,PC
1616.01,322054600,PC
1620.01,378291076,PC
1621.01,387260717,PC
1630.01,317597583,PC
1638.01,312862941,PC
1641.01,422923265,PC
1643.01,298647682,PC
1648.01,376353509,PC
1652.01,154867950,PC
1653.01,156724719,PC
1654.01,258829450,PC
1655.01,266500992,PC
1659.01,288631580,PC
1659.02,288631580,PC
166.01,147203645,PC
1664.01,353782445,PC
1669.01,428679607,PC
167.01,149990841,PC
1670.03,441739020,PC
1675.01,81831095,PC
1677.01,87090944,PC
168.01,369457671,PC
1681.01,321041369,PC
1683.01,58542531,PC
1684.01,85031598,PC
1686.01,102672709,PC
1687.01,103448870,PC
1691.01,268334473,PC
1692.01,288636342,PC
1692.02,288636342,PC
1697.01,1884091865,PC
1698.01,190223929,PC
1699.01,22705558,PC
170.01,394698182,PC
1701.01,274215536,PC
